station,code,ID,scheduled,estimated,departed,arrived,diffMin,eta,from,to,prev_station,train_departure_schedule
TORONTO,TRTO,1 (05-14),2025-05-14 13:55:00+00:00,2025-05-14 13:55:00+00:00,True,False,0.0,ARR,TORONTO,VANCOUVER,,2025-05-14 13:55:00+00:00
WASHAGO,WSHG,1 (05-14),2025-05-14 16:25:00+00:00,2025-05-14 17:09:35+00:00,True,False,44.0,ARR,TORONTO,VANCOUVER,TORONTO,2025-05-14 13:55:00+00:00
SOUTH PARRY,SPAR,1 (05-14),2025-05-14 18:27:00+00:00,2025-05-14 19:13:56+00:00,True,False,46.0,ARR,TORONTO,VANCOUVER,WASHAGO,2025-05-14 13:55:00+00:00
SUDBURY (JCT.),SUDJ,1 (05-14),2025-05-14 20:57:00+00:00,2025-05-14 21:33:13+00:00,True,False,36.0,ARR,TORONTO,VANCOUVER,SOUTH PARRY,2025-05-14 13:55:00+00:00
CAPREOL,CAPR,1 (05-14),2025-05-14 21:22:00+00:00,2025-05-14 22:08:42+00:00,True,False,46.0,ARR,TORONTO,VANCOUVER,SUDBURY (JCT.),2025-05-14 13:55:00+00:00
LAFOREST,LAFO,1 (05-14),2025-05-14 22:48:00+00:00,2025-05-14 23:24:34+00:00,True,False,36.0,ARR,TORONTO,VANCOUVER,CAPREOL,2025-05-14 13:55:00+00:00
MCKEE'S CAMP,MCKC,1 (05-14),2025-05-14 23:01:00+00:00,2025-05-14 23:37:34+00:00,True,False,36.0,ARR,TORONTO,VANCOUVER,LAFOREST,2025-05-14 13:55:00+00:00
FELIX,FELX,1 (05-14),2025-05-14 23:21:00+00:00,2025-05-14 23:57:34+00:00,True,False,36.0,ARR,TORONTO,VANCOUVER,MCKEE'S CAMP,2025-05-14 13:55:00+00:00
RUEL,RUEL,1 (05-14),2025-05-14 23:28:00+00:00,2025-05-15 00:04:34+00:00,True,False,36.0,ARR,TORONTO,VANCOUVER,FELIX,2025-05-14 13:55:00+00:00
WESTREE,WSTR,1 (05-14),2025-05-14 23:45:00+00:00,2025-05-15 00:46:07+00:00,True,False,61.0,ARR,TORONTO,VANCOUVER,RUEL,2025-05-14 13:55:00+00:00
GOGAMA,GOGA,1 (05-14),2025-05-15 00:18:00+00:00,2025-05-15 01:15:32+00:00,True,False,57.0,ARR,TORONTO,VANCOUVER,WESTREE,2025-05-14 13:55:00+00:00
FOLEYET,FOLE,1 (05-14),2025-05-15 02:44:00+00:00,2025-05-15 03:23:44+00:00,True,False,39.0,ARR,TORONTO,VANCOUVER,GOGAMA,2025-05-14 13:55:00+00:00
ELSAS,ELSA,1 (05-14),2025-05-15 03:38:00+00:00,2025-05-15 04:21:32+00:00,True,False,43.0,ARR,TORONTO,VANCOUVER,FOLEYET,2025-05-14 13:55:00+00:00
