train_id,departed,arrived,from,to,instance,stop_id,station,code,estimated,scheduled,eta,diff,diffMin
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,0,Toronto,TRTO,2025-11-05T14:55:00Z,2025-11-05T14:55:00Z,ARR,goo,0.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,1,Washago,WSHG,2025-11-05T17:47:30Z,2025-11-05T17:25:00Z,ARR,bad,22.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,2,South Parry,SPAR,2025-11-05T20:18:04Z,2025-11-05T19:27:00Z,ARR,bad,51.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,3,Sudbury (Jct.),SUDJ,2025-11-05T22:32:40Z,2025-11-05T21:57:00Z,ARR,bad,35.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,4,Capreol,CAPR,2025-11-05T23:51:47Z,2025-11-05T22:22:00Z,ARR,bad,89.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,5,Laforest,LAFO,2025-11-06T03:06:49Z,2025-11-05T23:48:00Z,ARR,bad,198.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,6,McKee's Camp,MCKC,2025-11-06T03:19:49Z,2025-11-06T00:01:00Z,ARR,bad,198.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,7,Felix,FELX,2025-11-06T03:39:49Z,2025-11-06T00:21:00Z,ARR,bad,198.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,8,Ruel,RUEL,2025-11-06T03:46:49Z,2025-11-06T00:28:00Z,ARR,bad,198.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,9,Westree,WSTR,2025-11-06T03:52:07Z,2025-11-06T00:45:00Z,ARR,bad,187.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,10,Gogama,GOGA,2025-11-06T04:18:44Z,2025-11-06T01:18:00Z,ARR,bad,180.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,11,Foleyet,FOLE,2025-11-06T06:01:20Z,2025-11-06T03:44:00Z,ARR,bad,137.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,12,Elsas,ELSA,2025-11-06T06:52:40Z,2025-11-06T04:38:00Z,ARR,bad,134.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,13,Oba,OBAX,2025-11-06T08:39:20Z,2025-11-06T06:38:00Z,ARR,bad,121.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,14,Hornepayne,HNPN,2025-11-06T09:22:11Z,2025-11-06T07:29:00Z,ARR,bad,113.0
1 (11-05),True,True,TORONTO,VANCOUVER,2025-11-05,15,Hillsport,HLSP,2025-11-06T10:57:16Z,2025-11-06T09:05:00Z,ARR,bad,112.0
